Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Protein stable ID,Protein stable ID version,Gene name,Transcript name
ENSG00000280663,ENSG00000280663.4,ENST00000631244,ENST00000631244.2,ENSP00000486003,ENSP00000486003.1,PCMTD2,PCMTD2-223
ENSG00000280663,ENSG00000280663.4,ENST00000629502,ENST00000629502.1,ENSP00000487463,ENSP00000487463.1,PCMTD2,PCMTD2-220
ENSG00000280663,ENSG00000280663.4,ENST00000627852,ENST00000627852.1,ENSP00000486648,ENSP00000486648.1,PCMTD2,PCMTD2-216
ENSG00000280663,ENSG00000280663.4,ENST00000627415,ENST00000627415.2,ENSP00000486510,ENSP00000486510.1,PCMTD2,PCMTD2-215
ENSG00000280663,ENSG00000280663.4,ENST00000628846,ENST00000628846.1,ENSP00000486493,ENSP00000486493.1,PCMTD2,PCMTD2-219
ENSG00000280663,ENSG00000280663.4,ENST00000628717,ENST00000628717.1,ENSP00000486313,ENSP00000486313.1,PCMTD2,PCMTD2-218
ENSG00000280663,ENSG00000280663.4,ENST00000629544,ENST00000629544.1,ENSP00000485733,ENSP00000485733.1,PCMTD2,PCMTD2-221
ENSG00000280663,ENSG00000280663.4,ENST00000615818,ENST00000615818.3,ENSP00000482166,ENSP00000482166.1,PCMTD2,PCMTD2-212
ENSG00000280663,ENSG00000280663.4,ENST00000618274,ENST00000618274.4,ENSP00000478638,ENSP00000478638.1,PCMTD2,PCMTD2-213
ENSG00000273735,ENSG00000273735.4,ENST00000620501,ENST00000620501.4,ENSP00000482956,ENSP00000482956.1,KIR3DL2,KIR3DL2-204
ENSG00000273735,ENSG00000273735.4,ENST00000612483,ENST00000612483.1,ENSP00000480951,ENSP00000480951.1,KIR3DL2,KIR3DL2-203
ENSG00000276423,ENSG00000276423.6,ENST00000621353,ENST00000621353.4,ENSP00000484972,ENSP00000484972.1,KIR3DL1,KIR3DL1-228
ENSG00000275914,ENSG00000275914.5,ENST00000618388,ENST00000618388.4,ENSP00000480161,ENSP00000480161.1,KIR2DL2,KIR2DL2-206
ENSG00000276433,ENSG00000276433.1,ENST00000617100,ENST00000617100.1,ENSP00000480099,ENSP00000480099.1,KIR3DL3,KIR3DL3-223
ENSG00000278207,ENSG00000278207.1,ENST00000616642,ENST00000616642.1,ENSP00000484871,ENSP00000484871.1,KIR2DL1,KIR2DL1-224
ENSG00000276676,ENSG00000276676.5,ENST00000615980,ENST00000615980.4,ENSP00000477721,ENSP00000477721.1,KIR2DS5,KIR2DS5-205
ENSG00000277616,ENSG00000277616.1,ENST00000612069,ENST00000612069.1,ENSP00000479574,ENSP00000479574.1,KIR2DL1,KIR2DL1-221
ENSG00000276258,ENSG00000276258.1,ENST00000619473,ENST00000619473.1,ENSP00000484400,ENSP00000484400.1,KIR2DS2,KIR2DS2-211
ENSG00000277317,ENSG00000277317.5,ENST00000619995,ENST00000619995.4,ENSP00000480087,ENSP00000480087.1,KIR2DL3,KIR2DL3-216
ENSG00000274948,ENSG00000274948.5,ENST00000613229,ENST00000613229.4,ENSP00000482160,ENSP00000482160.1,KIR3DL1,KIR3DL1-213
ENSG00000275946,ENSG00000275946.5,ENST00000614018,ENST00000614018.4,ENSP00000484782,ENSP00000484782.1,KIR2DL5B,KIR2DL5B-204
ENSG00000276930,ENSG00000276930.1,ENST00000614255,ENST00000614255.1,ENSP00000484725,ENSP00000484725.1,KIR3DL3,KIR3DL3-227
ENSG00000274189,ENSG00000274189.4,ENST00000612865,ENST00000612865.4,ENSP00000483940,ENSP00000483940.1,KIR2DL4,KIR2DL4-217
ENSG00000274189,ENSG00000274189.4,ENST00000614427,ENST00000614427.1,ENSP00000481866,ENSP00000481866.1,KIR2DL4,KIR2DL4-218
ENSG00000277044,ENSG00000277044.3,ENST00000615600,ENST00000615600.3,ENSP00000478920,ENSP00000478920.2,OPRL1,OPRL1-205
ENSG00000277044,ENSG00000277044.3,ENST00000627060,ENST00000627060.2,ENSP00000485794,ENSP00000485794.1,OPRL1,OPRL1-207
ENSG00000277044,ENSG00000277044.3,ENST00000625570,ENST00000625570.1,ENSP00000487083,ENSP00000487083.1,OPRL1,OPRL1-206
ENSG00000277339,ENSG00000277339.2,ENST00000612646,ENST00000612646.2,ENSP00000484253,ENSP00000484253.1,NPBWR2,NPBWR2-203
ENSG00000276501,ENSG00000276501.5,ENST00000619476,ENST00000619476.4,ENSP00000478871,ENSP00000478871.1,KIR3DL1,KIR3DL1-229
ENSG00000276876,ENSG00000276876.4,ENST00000616597,ENST00000616597.4,ENSP00000481863,ENSP00000481863.1,MYT1,MYT1-210
ENSG00000276876,ENSG00000276876.4,ENST00000613234,ENST00000613234.3,ENSP00000477771,ENSP00000477771.2,MYT1,MYT1-209
ENSG00000276876,ENSG00000276876.4,ENST00000621996,ENST00000621996.4,ENSP00000478819,ENSP00000478819.1,MYT1,MYT1-212
ENSG00000276876,ENSG00000276876.4,ENST00000616648,ENST00000616648.2,ENSP00000483021,ENSP00000483021.1,MYT1,MYT1-211
ENSG00000276328,ENSG00000276328.1,ENST00000619074,ENST00000619074.1,ENSP00000481664,ENSP00000481664.1,KIR3DL3,KIR3DL3-222
ENSG00000275848,ENSG00000275848.1,ENST00000614379,ENST00000614379.1,ENSP00000480838,ENSP00000480838.1,KIR2DL4,KIR2DL4-249
ENSG00000273510,ENSG00000273510.1,ENST00000615298,ENST00000615298.1,ENSP00000482449,ENSP00000482449.1,KIR2DL1,KIR2DL1-203
ENSG00000276329,ENSG00000276329.5,ENST00000620959,ENST00000620959.4,ENSP00000484292,ENSP00000484292.1,KIR3DL1,KIR3DL1-226
ENSG00000274696,ENSG00000274696.2,ENST00000613666,ENST00000613666.1,ENSP00000478407,ENSP00000478407.1,KIR3DL3,KIR3DL3-211
ENSG00000274696,ENSG00000274696.2,ENST00000613321,ENST00000613321.3,ENSP00000477890,ENSP00000477890.2,KIR3DL3,KIR3DL3-210
ENSG00000276518,ENSG00000276518.1,ENST00000614885,ENST00000614885.1,ENSP00000480312,ENSP00000480312.1,KIR3DP1,KIR3DP1-219
ENSG00000278152,ENSG00000278152.2,ENST00000622127,ENST00000622127.1,ENSP00000481307,ENSP00000481307.1,KIR2DS2,KIR2DS2-215
ENSG00000278152,ENSG00000278152.2,ENST00000616462,ENST00000616462.2,ENSP00000482387,ENSP00000482387.2,KIR2DS2,KIR2DS2-214
ENSG00000276595,ENSG00000276595.4,ENST00000617711,ENST00000617711.4,ENSP00000484143,ENSP00000484143.1,PTCHD3,PTCHD3-203
ENSG00000276595,ENSG00000276595.4,ENST00000610715,ENST00000610715.1,ENSP00000478346,ENSP00000478346.1,PTCHD3,PTCHD3-202
ENSG00000276086,ENSG00000276086.1,ENST00000617919,ENST00000617919.1,ENSP00000478344,ENSP00000478344.1,KIR3DL3,KIR3DL3-220
ENSG00000275288,ENSG00000275288.6,ENST00000616188,ENST00000616188.4,ENSP00000484036,ENSP00000484036.1,KIR3DL1,KIR3DL1-214
ENSG00000276534,ENSG00000276534.5,ENST00000618890,ENST00000618890.4,ENSP00000477819,ENSP00000477819.1,KIR3DS1,KIR3DS1-214
ENSG00000277725,ENSG00000277725.5,ENST00000611206,ENST00000611206.4,ENSP00000484319,ENSP00000484319.1,KIR2DL2,KIR2DL2-214
ENSG00000274722,ENSG00000274722.4,ENST00000617354,ENST00000617354.4,ENSP00000482110,ENSP00000482110.1,KIR3DL2,KIR3DL2-207
ENSG00000274722,ENSG00000274722.4,ENST00000612138,ENST00000612138.1,ENSP00000482589,ENSP00000482589.1,KIR3DL2,KIR3DL2-206
ENSG00000276044,ENSG00000276044.4,ENST00000621002,ENST00000621002.4,ENSP00000484307,ENSP00000484307.1,KIR2DL4,KIR2DL4-252
ENSG00000276044,ENSG00000276044.4,ENST00000616384,ENST00000616384.4,ENSP00000479347,ENSP00000479347.1,KIR2DL4,KIR2DL4-251
ENSG00000276044,ENSG00000276044.4,ENST00000622350,ENST00000622350.3,ENSP00000483924,ENSP00000483924.1,KIR2DL4,KIR2DL4-253
ENSG00000276044,ENSG00000276044.4,ENST00000612879,ENST00000612879.2,ENSP00000477560,ENSP00000477560.1,KIR2DL4,KIR2DL4-250
ENSG00000274957,ENSG00000274957.1,ENST00000612783,ENST00000612783.1,ENSP00000481753,ENSP00000481753.1,KIR2DS4,KIR2DS4-215
ENSG00000278430,ENSG00000278430.4,ENST00000616354,ENST00000616354.4,ENSP00000483782,ENSP00000483782.1,KIR2DL4,KIR2DL4-280
ENSG00000278430,ENSG00000278430.4,ENST00000620486,ENST00000620486.4,ENSP00000482452,ENSP00000482452.1,KIR2DL4,KIR2DL4-283
ENSG00000278430,ENSG00000278430.4,ENST00000619043,ENST00000619043.2,ENSP00000484194,ENSP00000484194.1,KIR2DL4,KIR2DL4-282
ENSG00000278430,ENSG00000278430.4,ENST00000610662,ENST00000610662.3,ENSP00000477505,ENSP00000477505.1,KIR2DL4,KIR2DL4-279
ENSG00000274406,ENSG00000274406.1,ENST00000620669,ENST00000620669.1,ENSP00000480062,ENSP00000480062.1,KIR2DS4,KIR2DS4-206
ENSG00000275276,ENSG00000275276.1,ENST00000616310,ENST00000616310.1,ENSP00000478567,ENSP00000478567.1,KIR2DL1,KIR2DL1-212
ENSG00000276425,ENSG00000276425.1,ENST00000611495,ENST00000611495.1,ENSP00000484082,ENSP00000484082.1,KIR2DS2,KIR2DS2-212
ENSG00000275421,ENSG00000275421.1,ENST00000621207,ENST00000621207.1,ENSP00000482060,ENSP00000482060.1,KIR2DS1,KIR2DS1-204
ENSG00000273526,ENSG00000273526.1,ENST00000617783,ENST00000617783.1,ENSP00000481214,ENSP00000481214.1,KIR2DS4,KIR2DS4-203
ENSG00000274782,ENSG00000274782.1,ENST00000613580,ENST00000613580.1,ENSP00000484701,ENSP00000484701.1,KIR2DL1,KIR2DL1-207
ENSG00000275172,ENSG00000275172.1,ENST00000618920,ENST00000618920.1,ENSP00000484541,ENSP00000484541.1,KIR3DL3,KIR3DL3-216
ENSG00000276985,ENSG00000276985.4,ENST00000612159,ENST00000612159.4,ENSP00000484662,ENSP00000484662.1,FCAR,FCAR-303
ENSG00000276985,ENSG00000276985.4,ENST00000615800,ENST00000615800.4,ENSP00000483841,ENSP00000483841.1,FCAR,FCAR-309
ENSG00000276985,ENSG00000276985.4,ENST00000614226,ENST00000614226.4,ENSP00000483099,ENSP00000483099.1,FCAR,FCAR-306
ENSG00000276985,ENSG00000276985.4,ENST00000617025,ENST00000617025.4,ENSP00000481129,ENSP00000481129.1,FCAR,FCAR-310
ENSG00000276985,ENSG00000276985.4,ENST00000614433,ENST00000614433.4,ENSP00000480748,ENSP00000480748.1,FCAR,FCAR-307
ENSG00000276985,ENSG00000276985.4,ENST00000620270,ENST00000620270.4,ENSP00000482022,ENSP00000482022.1,FCAR,FCAR-313
ENSG00000276985,ENSG00000276985.4,ENST00000612505,ENST00000612505.4,ENSP00000479792,ENSP00000479792.1,FCAR,FCAR-304
ENSG00000276985,ENSG00000276985.4,ENST00000618328,ENST00000618328.4,ENSP00000480496,ENSP00000480496.1,FCAR,FCAR-312
ENSG00000276985,ENSG00000276985.4,ENST00000618271,ENST00000618271.1,ENSP00000484741,ENSP00000484741.1,FCAR,FCAR-311
ENSG00000273603,ENSG00000273603.1,ENST00000618071,ENST00000618071.1,ENSP00000482900,ENSP00000482900.1,KIR2DS1,KIR2DS1-202
ENSG00000275433,ENSG00000275433.1,ENST00000617584,ENST00000617584.1,ENSP00000484879,ENSP00000484879.1,KIR3DL3,KIR3DL3-217
ENSG00000275596,ENSG00000275596.1,ENST00000613155,ENST00000613155.1,ENSP00000484296,ENSP00000484296.1,KIR2DL5A,KIR2DL5A-203
ENSG00000273738,ENSG00000273738.4,ENST00000615361,ENST00000615361.4,ENSP00000482741,ENSP00000482741.1,FCAR,FCAR-220
ENSG00000273738,ENSG00000273738.4,ENST00000613318,ENST00000613318.4,ENSP00000481560,ENSP00000481560.1,FCAR,FCAR-217
ENSG00000273738,ENSG00000273738.4,ENST00000622737,ENST00000622737.4,ENSP00000479738,ENSP00000479738.1,FCAR,FCAR-226
ENSG00000273738,ENSG00000273738.4,ENST00000617778,ENST00000617778.4,ENSP00000480498,ENSP00000480498.1,FCAR,FCAR-223
ENSG00000273738,ENSG00000273738.4,ENST00000614893,ENST00000614893.4,ENSP00000477966,ENSP00000477966.1,FCAR,FCAR-219
ENSG00000273738,ENSG00000273738.4,ENST00000611130,ENST00000611130.4,ENSP00000484917,ENSP00000484917.1,FCAR,FCAR-215
ENSG00000273738,ENSG00000273738.4,ENST00000619073,ENST00000619073.4,ENSP00000479360,ENSP00000479360.1,FCAR,FCAR-224
ENSG00000273738,ENSG00000273738.4,ENST00000611871,ENST00000611871.4,ENSP00000482976,ENSP00000482976.1,FCAR,FCAR-216
ENSG00000273738,ENSG00000273738.4,ENST00000622646,ENST00000622646.1,ENSP00000480406,ENSP00000480406.1,FCAR,FCAR-225
ENSG00000274830,ENSG00000274830.5,ENST00000610407,ENST00000610407.4,ENSP00000478848,ENSP00000478848.1,KIR2DL3,KIR2DL3-207
ENSG00000275608,ENSG00000275608.5,ENST00000614429,ENST00000614429.4,ENSP00000480225,ENSP00000480225.1,KIR3DS1,KIR3DS1-210
ENSG00000275608,ENSG00000275608.5,ENST00000622416,ENST00000622416.1,ENSP00000480070,ENSP00000480070.1,KIR3DS1,KIR3DS1-211
ENSG00000275436,ENSG00000275436.5,ENST00000620281,ENST00000620281.4,ENSP00000478053,ENSP00000478053.1,KIR2DL5B,KIR2DL5B-202
ENSG00000276004,ENSG00000276004.4,ENST00000622024,ENST00000622024.4,ENSP00000479425,ENSP00000479425.1,KIR3DL2,KIR3DL2-225
ENSG00000276004,ENSG00000276004.4,ENST00000610507,ENST00000610507.1,ENSP00000479302,ENSP00000479302.1,KIR3DL2,KIR3DL2-224
ENSG00000274518,ENSG00000274518.1,ENST00000613378,ENST00000613378.1,ENSP00000482725,ENSP00000482725.1,KIR2DS2,KIR2DS2-202
ENSG00000277650,ENSG00000277650.1,ENST00000619698,ENST00000619698.1,ENSP00000483733,ENSP00000483733.1,KIR2DS5,KIR2DS5-206
ENSG00000274955,ENSG00000274955.4,ENST00000619637,ENST00000619637.4,ENSP00000478491,ENSP00000478491.1,KIR2DL4,KIR2DL4-234
ENSG00000274955,ENSG00000274955.4,ENST00000618955,ENST00000618955.4,ENSP00000481043,ENSP00000481043.1,KIR2DL4,KIR2DL4-233
ENSG00000274955,ENSG00000274955.4,ENST00000618013,ENST00000618013.1,ENSP00000477525,ENSP00000477525.1,KIR2DL4,KIR2DL4-232
ENSG00000274945,ENSG00000274945.4,ENST00000610911,ENST00000610911.4,ENSP00000480840,ENSP00000480840.1,KIR2DL4,KIR2DL4-228
ENSG00000274945,ENSG00000274945.4,ENST00000619980,ENST00000619980.4,ENSP00000481431,ENSP00000481431.1,KIR2DL4,KIR2DL4-231
ENSG00000274945,ENSG00000274945.4,ENST00000610492,ENST00000610492.4,ENSP00000482972,ENSP00000482972.1,KIR2DL4,KIR2DL4-227
ENSG00000274945,ENSG00000274945.4,ENST00000611437,ENST00000611437.4,ENSP00000479925,ENSP00000479925.1,KIR2DL4,KIR2DL4-229
ENSG00000274945,ENSG00000274945.4,ENST00000613824,ENST00000613824.1,ENSP00000480775,ENSP00000480775.1,KIR2DL4,KIR2DL4-230
ENSG00000273661,ENSG00000273661.5,ENST00000614650,ENST00000614650.4,ENSP00000483945,ENSP00000483945.1,KIR2DL2,KIR2DL2-202
ENSG00000275659,ENSG00000275659.5,ENST00000612933,ENST00000612933.4,ENSP00000481716,ENSP00000481716.1,KIR3DL1,KIR3DL1-218
ENSG00000275659,ENSG00000275659.5,ENST00000620703,ENST00000620703.2,ENSP00000480651,ENSP00000480651.2,KIR3DL1,KIR3DL1-219
ENSG00000278755,ENSG00000278755.1,ENST00000619424,ENST00000619424.1,ENSP00000478054,ENSP00000478054.1,KIR2DL1,KIR2DL1-231
ENSG00000276139,ENSG00000276139.4,ENST00000613952,ENST00000613952.4,ENSP00000483805,ENSP00000483805.1,KIR2DS2,KIR2DS2-208
ENSG00000276139,ENSG00000276139.4,ENST00000614727,ENST00000614727.4,ENSP00000483792,ENSP00000483792.1,KIR2DS2,KIR2DS2-209
ENSG00000276139,ENSG00000276139.4,ENST00000622343,ENST00000622343.1,ENSP00000481218,ENSP00000481218.1,KIR2DS2,KIR2DS2-210
ENSG00000274676,ENSG00000274676.1,ENST00000611422,ENST00000611422.1,ENSP00000479384,ENSP00000479384.1,KIR2DL5A,KIR2DL5A-202
